Keyword ,Rating ,Last Seen,Suggested Bid,Monthly Searches
Location voiture,783,2019-07-01 22:00:00,2.10,70920
Banque en ligne,666,2019-07-03 17:30:00,0.00,50
Carte de crédit,535,2019-06-29 07:00:00,0.00,0
Livraison fleurs,356,2019-05-27 07:00:00,1.01,50590
Tablette tactile,327,2019-06-17 07:00:00,0.11,2290
Pneus pas chers,314,2019-06-26 15:00:00,0.52,1220
Vols pas chers,305,2019-07-01 16:00:00,0.38,14320
Cafetière expresso,294,2019-07-04 19:30:00,0.71,1390
Canicule,292,2019-07-01 22:00:00,0.04,530
Carte bancaire,291,2019-06-30 07:00:00,0.89,48980
Chaussures Adidas,286,2019-07-02 18:00:00,0.18,890
Location appartement,260,2019-07-05 09:00:00,0.37,8150
Antivirus gratuit,254,2019-06-25 17:30:00,0.97,24660
Nintendo Switch,251,2019-06-26 15:00:00,0.07,13150
Chaussures Nike,246,2019-06-17 06:00:00,0.12,2740
Salon de jardin,240,2019-07-02 18:00:00,0.00,0
Prêt personnel,236,2019-06-26 15:00:00,0.88,28330
Devis assurance,227,2019-07-04 19:30:00,1.73,16030
Chemises homme,223,2019-06-03 07:00:00,0.87,560
Mutuelle seniors,221,2019-06-25 22:33:00,0.59,1870
Pharmacie en ligne,215,2019-06-20 16:10:00,0.00,10
Samsung Galaxy,207,2019-06-23 07:00:00,0.19,3960
Apple Watch,205,2019-07-05 09:00:00,0.31,4220
Casque audio,204,2019-06-17 00:30:00,0.22,2770
Voiture occasion,198,2019-06-27 23:00:00,0.21,29730
Tablette Samsung,186,2019-06-17 06:30:00,0.22,5680
Assurance auto,184,2019-06-21 17:00:00,1.76,251180
Location vacances,175,2019-06-25 22:33:00,1.65,13870
Tenue fitness,161,2019-05-28 16:30:00,0.23,290
Tempête Miguel,161,2019-06-09 07:00:00,0.00,22530
iPad Pro,160,2019-06-13 16:30:00,0.39,2960
Assurance voiture,160,2019-05-19 07:00:00,3.20,35810
Vélo enfant,155,2019-07-03 17:30:00,0.26,990
Coque iPhone,152,2019-06-17 07:30:00,0.39,1770
Prêt immobilier,147,2019-05-27 23:30:00,1.49,22110
Crédit gratuit,144,2019-06-19 23:30:00,0.21,60
Réservation hôtel,144,2019-05-26 21:00:00,1.50,27730
Pièces auto,143,2019-05-28 22:30:00,0.75,19390
Livres en ligne,141,2019-07-02 18:00:00,0.00,20
Mutuelle santé,137,2019-05-20 07:00:00,1.86,22460
Rachat crédit,137,2019-06-24 07:00:00,3.23,95290
Attentat de Lyon,134,2019-06-02 07:00:00,0.00,0
Polo Lacoste,134,2019-06-17 06:00:00,0.21,1790
Crédit en ligne,133,2019-06-03 22:30:00,0.00,0
Rencontre amitié,133,2019-07-03 17:30:00,0.31,410
Caisse à vin,133,2019-06-17 05:30:00,0.00,240
Tasse personalisable,131,2019-06-17 07:00:00,0.09,10
Caisse à outils,130,2019-06-17 05:00:00,0.00,540
Briquet gravé,130,2019-06-17 07:00:00,0.13,130
Verre à bière,130,2019-06-17 00:30:00,0.00,850
Guillotine à saucisson,129,2019-06-17 07:30:00,0.00,460
Abris de jardin,129,2019-04-09 16:30:00,0.00,10
Coffret cadeau,129,2019-06-17 07:30:00,1.02,930
Album photo,128,2019-06-17 02:30:00,1.26,38330
Location ski,127,2019-03-10 07:00:00,0.60,100
Abris jardin,125,2019-06-11 23:00:00,0.20,3800
Set à fromage,124,2019-06-17 06:30:00,0.00,80
Résidence seniors,123,2019-06-26 23:00:00,0.76,3410
Porte-cartes,123,2019-06-17 03:00:00,0.25,160
Vélo électrique,123,2019-06-30 07:00:00,0.29,15110
Cadre photo,121,2019-06-17 07:30:00,0.63,3590
Verre à whisky,121,2019-06-17 04:30:00,0.00,440
Adidas Originals,119,2019-06-17 06:30:00,0.27,330
Peignoir brodé,118,2019-06-17 06:00:00,0.52,160
Chemises en lin,118,2019-06-17 07:30:00,0.00,0
Baby-foot,117,2019-06-17 07:00:00,0.35,3290
Mules Birkenstock,116,2019-06-17 06:30:00,0.40,70
Tire-bouchon électrique,116,2019-06-17 07:30:00,0.12,300
Set barbecue,115,2019-06-17 07:30:00,0.40,40
Casquette personnalisable,115,2019-06-17 07:30:00,0.44,540
Panama paille,115,2019-06-17 04:00:00,0.07,10
Planche à découper,114,2019-06-17 07:00:00,0.00,560
Cravate,114,2019-06-17 05:30:00,0.17,800
Machine à expresso,114,2019-06-17 02:30:00,0.00,350
iPad Air,113,2019-06-17 04:30:00,0.13,1240
Week-end thalasso,112,2019-05-26 21:00:00,0.97,630
T-shirt personnalisé,110,2019-06-17 01:30:00,1.64,20
Week-end ski,110,2019-03-30 07:00:00,0.25,290
Chemises hommes,110,2019-06-17 00:30:00,0.53,290
Couteau Laguiole,110,2019-06-17 06:30:00,0.16,810
Nike Air Max,109,2019-05-16 16:00:00,0.17,4340
Affaire Vincent Lambert,108,2019-06-30 07:00:00,0.00,2810
Jeux en ligne,107,2019-06-27 23:00:00,0.00,10
Hôtels pas chers,107,2019-05-19 07:00:00,0.95,1750
Chargeur sans fil,106,2019-06-17 03:30:00,0.21,210
Briquet Zippo,105,2019-06-17 05:30:00,0.22,160
Noeud papillon,103,2019-06-17 05:30:00,0.33,1630
Porte-bouteilles,102,2019-06-17 02:30:00,0.12,90
Robe pas chère,101,2019-06-28 16:30:00,0.36,820
Cours d'anglais,101,2019-04-21 07:00:00,0.00,0
Bac 2019,100,2019-07-05 09:00:00,0.00,0
Cocktail shaker,100,2019-06-17 06:00:00,0.07,40
Montre homme,100,2019-06-17 07:00:00,0.39,2240
Sacs femme,100,2019-04-23 23:30:00,0.19,60
Jeu d'échecs,99,2019-06-17 05:00:00,0.00,0
Tirage photos,98,2019-07-03 22:30:00,0.72,2540
Soins cheveux,97,2019-05-26 19:30:00,0.33,190
Robot multifonction,97,2019-05-14 17:00:00,0.37,1230
Mutuelle chien,97,2019-03-17 07:00:00,2.66,420
Heures du Mans,96,2019-06-17 07:00:00,0.00,0
Rencontres amitié,96,2019-04-29 07:00:00,0.13,70
Promotion ski,96,2019-02-18 07:00:00,0.20,20
Lucifer Netflix,95,2019-06-09 07:00:00,0.00,640
Kit Laguiole,95,2019-06-17 03:00:00,0.09,10
Verres gravés,95,2019-06-17 07:30:00,0.41,120
Anne Hidalgo,94,2019-06-15 07:00:00,0.09,2670
Coffret sommelier,94,2019-06-16 23:00:00,0.16,40
Sortie théâtre,94,2019-07-05 09:00:00,0.07,80
Aspirateur Dyson,93,2019-06-14 15:30:00,0.33,6480
Voiture d'occasion,93,2019-05-17 15:30:00,0.00,0
Verres personnalisés,93,2019-06-17 06:30:00,0.40,140
Chaussures femme,92,2019-07-01 16:00:00,0.27,9550
Achat immobilier,91,2019-04-15 07:00:00,0.79,900
Cafetière Italienne,90,2019-06-17 06:30:00,0.51,2020
Samsung Galaxy S10,89,2019-04-03 22:30:00,0.28,3130
Assurance chômage,88,2019-07-04 20:30:00,0.09,3140
Assurance habitation,88,2019-05-10 16:30:00,1.56,39630
Coffret rasage,88,2019-06-17 04:00:00,0.57,30
Célébrations D-Day,87,2019-06-07 18:00:00,0.00,0
Coffret à vin,87,2019-06-17 04:30:00,0.00,70
Tom Ellis,87,2019-07-02 18:00:00,0.03,6910
Photo sur toile,87,2019-06-17 07:00:00,0.00,0
Sebastian Vettel,86,2019-06-30 07:00:00,0.04,690
Rencontres gratuites,86,2019-06-24 18:00:00,0.19,1320
Sac de voyage,84,2019-06-17 06:00:00,0.00,30
Offre internet,83,2019-07-01 07:00:00,0.80,6230
Téléviseur LED,83,2019-06-24 18:00:00,0.30,270
Cartes de visite,82,2019-05-21 16:30:00,0.00,0
Réforme retraites,82,2019-06-14 15:30:00,0.18,5160
Meilleur club fitness,81,2019-07-04 19:30:00,0.00,90
Trousse de toilette,81,2019-06-16 23:00:00,0.00,0
Tablette PC,81,2019-06-19 22:00:00,0.11,330
Achat immobiler,79,2019-06-24 18:00:00,0.00,10
Robes longues,76,2019-05-13 07:00:00,0.35,1430
Carte grise,76,2019-06-22 07:00:00,1.45,327710
Site rencontre,76,2019-05-30 23:00:00,0.91,53110
Aspirateur robot,75,2019-03-19 06:00:00,0.27,2990
Crédit immobilier,74,2019-05-05 07:00:00,1.86,3830
Porte-clés,74,2019-06-16 23:30:00,0.39,450
Aide à domicile,73,2019-02-24 07:00:00,0.00,21610
Horoscope gratuit,73,2019-05-08 18:30:00,0.07,21800
Chaussures enfants,72,2019-04-23 16:30:00,0.43,280
Pneu discount,72,2019-04-21 07:00:00,0.70,750
Abonnement magazines,72,2019-04-23 16:30:00,0.60,130
Vols Barcelone,70,2019-06-22 07:00:00,0.67,160
Enceinte Bluetooth,70,2019-05-17 15:30:00,0.20,5490
Assurance voyage,70,2019-06-23 07:00:00,1.04,31900
Ecouteurs Bluetooth,70,2019-05-25 23:00:00,0.30,880
Bague Swarovski,70,2019-05-26 09:00:00,0.79,380
Voiture électrique,69,2019-06-15 07:00:00,1.40,31200
Coffret de bière,68,2019-06-16 14:00:00,0.00,0
Parfums femme,68,2019-02-14 17:30:00,0.26,130
Retraite complémentaire,68,2019-06-25 17:30:00,0.32,3990
Drone Iran,68,2019-06-22 07:00:00,0.00,20
Table de billard,67,2019-06-17 06:30:00,0.00,0
Fauteuils design,67,2019-05-17 15:30:00,0.37,270
Week-end amoureux,67,2019-05-06 07:00:00,0.66,2780
Robe de cocktail,66,2019-05-26 18:30:00,0.00,10
Écharpe homme,66,2019-06-17 01:00:00,0.27,110
Affaire Neymar,65,2019-06-08 07:00:00,0.00,20
Sèche-cheveux,65,2019-05-26 08:30:00,0.98,930
Linge de maison,65,2019-05-26 21:00:00,0.00,0
Comparateur assurance,65,2019-04-28 07:00:00,1.35,32020
Explosion Lyon,65,2019-05-30 17:00:00,0.00,300
Saccoche de pétanque,65,2019-06-17 01:00:00,0.00,0
Commando Kieffer,65,2019-06-08 07:00:00,0.04,1000
Michel Canac,64,2019-06-01 07:00:00,0.00,670
Vigilance rouge canicule,64,2019-06-29 07:00:00,0.00,10
Jony Ive,64,2019-06-29 07:00:00,0.00,20
Offres internet,64,2019-05-15 23:30:00,0.77,630
Chope de bière,63,2019-06-17 03:30:00,0.00,0
Assurance vie,62,2019-04-15 23:30:00,0.68,35600
Maillot de bain,62,2019-05-23 23:00:00,0.00,10
Chaussures homme,62,2019-04-26 17:30:00,0.32,2660
Ventilateur,61,2019-06-30 07:00:00,0.60,2190
Portefeuille homme,61,2019-06-17 03:30:00,0.37,920
Patrick Balkany,60,2019-06-12 22:30:00,0.00,11060
Vols New York,60,2019-04-22 23:00:00,0.82,160
Week-end Barcelone,59,2019-03-28 06:30:00,0.48,300
Cave à vin,59,2019-05-27 23:30:00,0.00,4460
Mutuelle étudiant,59,2019-04-09 16:30:00,1.39,60
Robe d'été,58,2019-06-12 22:30:00,0.00,0
Chaussettes homme,57,2019-06-17 06:30:00,0.96,370
Crédit consommation,57,2019-06-10 22:30:00,1.38,38360
Promotion croisière,57,2019-05-26 21:00:00,1.00,20
Short de bain homme,56,2019-06-17 02:30:00,0.00,0
Soins visage,55,2019-06-13 16:30:00,0.39,240
Tablier de cuisine,55,2019-06-17 07:00:00,0.00,0
Galaxy S10,55,2019-03-06 07:30:00,0.46,2920
Lunettes de soleil,55,2019-06-16 19:00:00,0.00,0
Espadrilles homme,55,2019-06-17 04:00:00,0.33,180
Tickets théâtre,53,2019-05-26 09:30:00,0.04,20
Forfait internet,52,2019-07-04 20:30:00,0.50,1300
Coussin personnalisé,51,2019-05-26 18:30:00,0.47,290
Bermuda homme,51,2019-06-17 05:00:00,0.44,700
Wimbledon,50,2019-07-02 23:00:00,0.09,6460
Smartphone Android,50,2019-05-30 17:30:00,0.13,350
Yannick Jadot,50,2019-07-02 23:00:00,0.03,4090
Lunettes Ray-Ban,50,2019-05-26 20:30:00,0.27,430
Éclipse solaire,50,2019-07-02 23:00:00,0.03,370
Crème pour les pieds,50,2019-05-26 17:00:00,0.00,0
Affaire Bygmalion,49,2019-05-20 07:00:00,0.00,530
Meilleur crédit,49,2019-03-01 17:00:00,1.02,50
Lait corporel,49,2019-05-26 17:30:00,0.36,50
Jamel Debbouze,49,2019-06-19 23:30:00,0.23,1980
Objectifs climat,49,2019-06-26 23:00:00,0.00,230
Meilleurs vols,49,2019-05-26 22:00:00,0.39,50
Grand Prix de France,48,2019-06-24 07:00:00,0.00,10
Space X,48,2019-05-26 07:00:00,0.04,2240
Ray-Ban homme,48,2019-06-16 19:00:00,0.41,170
Nordahl Lelandais,48,2019-05-27 07:00:00,0.00,3530
Poudre Givenchy,48,2019-05-26 14:30:00,0.38,40
Boucles d'oreilles,48,2019-02-10 07:00:00,0.00,0
Parfum homme,48,2019-06-09 07:00:00,0.48,1770
Permis bateau,48,2019-06-24 07:00:00,0.29,1690
Laurence Boccolini,48,2019-05-27 07:00:00,0.03,3500
Archipel des Chagos,48,2019-05-23 22:30:00,0.00,0
Conseils épargne,48,2019-06-02 07:00:00,0.23,180
Alizée,48,2019-05-27 07:00:00,0.30,5550
Ghostbusters 3,48,2019-06-30 07:00:00,0.00,0
Crème anti-rides,48,2019-06-03 07:00:00,0.69,280
Buzz Aldrin,48,2019-07-03 22:30:00,0.00,790
Vigilance orange,48,2019-06-27 23:00:00,0.00,190
Offres téléphone,48,2019-03-24 07:00:00,0.16,40
Tour de Suisse,48,2019-06-24 07:00:00,0.00,0
Hôtel Londres,48,2019-04-28 07:00:00,1.80,21880
Rallye du Portugal,48,2019-06-03 07:00:00,0.00,0
Permis de conduire,48,2019-06-09 07:00:00,0.00,0
Naufrage Vendée,48,2019-06-09 07:00:00,0.00,530
Offre matelas,48,2019-04-28 07:00:00,0.44,4510
Meilleur taux épargne,48,2019-02-19 06:30:00,0.11,40
Grève Suisse,48,2019-06-16 07:00:00,0.00,540
Crèmes solaires,48,2019-07-01 07:00:00,0.30,210
Disneyland Paris,48,2019-03-25 07:00:00,0.40,22600
Conseils financiers,48,2019-03-10 07:00:00,0.00,20
Grand Prix du Canada,48,2019-06-10 07:00:00,0.00,0
Robe de mariée,48,2019-04-22 07:00:00,0.00,0
Kawhi Leonard,48,2019-06-17 07:00:00,0.04,2180
Ian Bailey,48,2019-06-02 07:00:00,0.00,760
Cyril Lignac,48,2019-06-16 07:00:00,0.06,2290
Grand Prix d'Autriche,48,2019-07-01 07:00:00,0.00,0
Offres téléviseurs,48,2019-05-12 07:00:00,0.00,0
Tournoi de Halle,48,2019-06-23 07:00:00,0.00,0
Promotion lave-linge,48,2019-03-10 07:00:00,0.25,30
Nekfeu,48,2019-06-24 07:00:00,0.14,6000
Marine Lorphelin,48,2019-06-30 07:00:00,0.00,2650
Laury Thilleman,48,2019-06-10 07:00:00,0.08,3390
Pierre Gasly,48,2019-06-23 07:00:00,0.04,630
Gilles Lellouche,48,2019-06-02 07:00:00,0.00,6590
Offre voiture,48,2019-03-31 07:00:00,0.55,42670
Soins homme,48,2019-06-16 07:00:00,0.24,40
Louis de Funès,48,2019-06-06 22:30:00,0.00,0
Vaimalama Chaves,48,2019-06-27 23:00:00,0.00,4070
Investissement locatif,48,2019-02-25 07:00:00,2.74,2840
Carola Rackete,48,2019-07-03 22:30:00,0.00,3500
Conseils juridiques,48,2019-03-11 07:00:00,0.30,30
Eva Kleinitz,48,2019-06-03 07:00:00,0.00,840
Vols discount Espagne,48,2019-03-11 07:00:00,0.00,0
Téléviseur LCD,48,2019-02-25 07:00:00,0.26,110
Tickets concert,48,2019-03-04 07:00:00,0.13,30
Site de rencontre,48,2019-05-27 07:00:00,0.00,10
Ivanka Trump,48,2019-07-03 22:30:00,0.00,1910
Grille-pain,48,2019-02-24 07:00:00,0.16,2120
Attaques pétroliers,48,2019-06-16 07:00:00,0.00,750
Valérie Pécresse,48,2019-06-06 22:30:00,0.00,8890
Rachat de crédit,48,2019-04-22 07:00:00,0.00,0
Lance Stroll,48,2019-06-09 07:00:00,0.00,90
Billet avion,48,2019-06-10 07:00:00,0.74,40110
Jean-Pierre Pernaut,48,2019-07-03 22:30:00,0.00,2910
Charles Leclerc,48,2019-05-26 07:00:00,0.06,2080
Jeux Xbox,48,2019-03-23 07:00:00,0.12,320
Canapé convertible,48,2019-03-11 07:00:00,0.51,10070
Vélo VTT,48,2019-06-09 07:00:00,0.13,470
Sylvinho,48,2019-05-20 07:00:00,0.00,4560
Garance Teillet,48,2019-06-13 22:30:00,0.00,110
Coque iPad,48,2019-05-26 22:30:00,0.39,150
Centrifugeuse,48,2019-05-26 20:30:00,0.50,1530
Enceintes Bose,48,2019-03-31 07:00:00,0.12,170
Robes de soirée,48,2019-06-10 07:00:00,0.00,0
Valises cabine,48,2019-06-24 07:00:00,0.32,140
Adam Yates,48,2019-06-16 07:00:00,0.00,110
Alix Mahieux,48,2019-07-03 22:30:00,0.00,30
Montre femme,47,2019-05-25 15:30:00,0.51,2490
Sac à main Longchamp,47,2019-05-26 12:00:00,0.00,240
Marvel Phase 4,47,2019-05-09 22:30:00,0.00,0
MacBook Pro,47,2019-05-28 22:30:00,0.23,3770
Chemisier femme,47,2019-05-26 13:30:00,0.56,820
Chaussons homme,47,2019-06-17 07:30:00,0.27,180
Bracelet Swarovski,47,2019-05-25 23:30:00,0.49,430
Meilleur Android,47,2019-05-19 07:00:00,0.00,110
Ciel rayons X,47,2019-06-05 22:00:00,0.00,190
Gérard Larcher,47,2019-06-05 22:00:00,0.00,2580
Grève hôpitaux,46,2019-06-20 23:10:00,0.00,780
Dany Boon,46,2019-06-20 23:10:00,0.00,3360
Forfait manicure,46,2019-05-26 11:00:00,0.00,0
Réforme ferroviaire,46,2019-06-04 21:30:00,0.00,240
Fitbit,46,2019-05-26 20:00:00,0.67,5910
Ecouteurs Beats,46,2019-06-24 23:00:00,0.17,100
Homo luzonensis,46,2019-04-11 23:30:00,0.00,0
Coussin design,46,2019-05-26 17:30:00,0.27,100
Livraison repas,46,2019-05-26 20:30:00,0.55,1230
François Weyergans,46,2019-05-28 22:30:00,0.04,490
Diner concert,46,2019-05-26 21:30:00,0.00,60
Promotion draps,45,2019-03-14 03:30:00,1.19,0
Kit brassage de bière,45,2019-06-16 18:30:00,0.00,0
Lunettes Dior,45,2019-05-26 08:30:00,0.29,120
Privatisation ADP,45,2019-05-09 23:00:00,0.03,990
Livraison roses,45,2019-05-26 19:00:00,0.83,90
Climatiseur,44,2019-07-04 20:30:00,0.53,2930
Assortiment macarons,44,2019-05-26 14:30:00,0.03,30
Éruption Stromboli,44,2019-07-04 20:30:00,0.00,30
Panier gastronomique,44,2019-05-26 21:30:00,0.21,60
Réservation train,44,2019-03-20 16:00:00,0.15,3180
BTS,43,2019-04-15 07:00:00,0.29,17540
Montre Swatch,43,2019-05-25 21:00:00,0.35,1020
Macarons,43,2019-05-26 18:30:00,0.20,780
Nintendo Mini Switch,43,2019-07-04 20:00:00,0.00,20
Chemisette homme,43,2019-06-17 00:00:00,0.41,310
Crème pour les mains,43,2019-05-26 14:00:00,0.00,0
Bracelet Pandora,43,2019-05-26 20:00:00,0.32,1880
Pyjama en satin,43,2019-05-26 22:00:00,0.00,0
Crème visage,43,2019-05-26 10:00:00,1.22,140
Veste en jean,42,2019-05-26 11:00:00,0.00,0
Meilleur taux crédit,42,2019-03-06 18:00:00,0.66,220
Raymond Barre,42,2019-07-04 19:30:00,0.00,440
Bague fantaisie,42,2019-05-26 10:30:00,0.28,200
Carte cadeau,42,2019-05-15 23:30:00,0.50,3620
Appareil photo Canon,42,2019-05-26 17:30:00,0.16,720
Enceinte Bose,42,2019-05-26 22:30:00,0.24,1390
Henry Cavill,42,2019-07-04 19:30:00,0.04,1610
Panier gourmand,41,2019-05-26 09:30:00,0.71,260
Piscine hors sol,41,2019-07-01 22:00:00,0.47,8850
Foulard Desigual,41,2019-05-26 19:30:00,0.10,210
Promotion vols,41,2019-04-27 07:00:00,0.56,20
Meilleures offres mobile,41,2019-05-26 21:30:00,0.27,50
Croisière Méditerranée,41,2019-05-26 05:30:00,0.90,3230
Boite à bijoux,41,2019-05-26 15:00:00,0.00,640
Liste de mariage,41,2019-05-30 23:00:00,0.00,0
Tickets concerts,41,2019-05-26 14:30:00,0.06,50
Cartes cadeaux,41,2019-05-26 11:00:00,0.84,140
Chocolats de Pâques,41,2019-04-20 07:00:00,0.00,0
Bijoux maman enfant,40,2019-05-26 22:00:00,0.03,40
Livraison sushis,40,2019-05-26 22:30:00,0.30,40
Bougies,40,2019-05-26 16:00:00,0.27,560
Bracelet Hermès,40,2019-05-26 20:30:00,0.24,270
Grève urgences,40,2019-06-07 18:30:00,0.00,930
Xbox One,40,2019-06-21 17:00:00,0.14,4600
Montre Guess,40,2019-05-26 16:00:00,0.19,340
Gal Gadot,39,2019-06-07 18:00:00,0.04,3490
Soins des pieds,39,2019-05-26 15:00:00,0.00,0
Hélicoptère New York,39,2019-06-11 18:30:00,0.96,1660
Masques Origins,39,2019-05-26 17:00:00,0.00,40
Collier Swarovski,39,2019-05-26 19:30:00,0.43,280
Hôtel dernière minute,38,2019-05-26 13:00:00,1.22,440
Loi Blanquer,38,2019-05-22 18:00:00,0.00,4190
Sacs sport,38,2019-04-16 19:00:00,0.17,30
Week-end surprise,38,2019-05-26 03:00:00,0.19,60
Sac à main Guess,38,2019-05-26 20:00:00,0.00,290
MacBook Air,38,2019-05-26 04:30:00,0.32,3250
Aspirateur sans sac,38,2019-05-27 16:00:00,0.58,2880
Foulard Hermès,38,2019-05-26 18:00:00,0.16,250
Palette Clarins,38,2019-05-26 18:30:00,0.09,40
Vernis à ongles Chanel,38,2019-05-26 19:00:00,0.00,30
Agnès Buzyn,38,2019-06-11 18:00:00,0.00,4460
Compte bancaire,38,2019-06-17 23:30:00,1.08,57290
Vernis à ongles e.l.f.,38,2019-05-26 08:30:00,0.00,0
Rideaux couleurs,38,2019-04-16 19:00:00,0.07,770
Palette Dior,38,2019-05-26 15:30:00,0.42,50
