Keyword ,Rating ,Last Seen,Suggested Bid,Monthly Searches
Rouges à lèvres Dior,37,2019-05-26 19:00:00,0.00,10
Vacances tout compris,37,2019-05-26 05:00:00,0.76,550
Réservation dernière minute,37,2019-05-26 10:30:00,1.06,80
Méthane Mars,37,2019-06-25 17:30:00,0.00,200
Lunettes Chanel,37,2019-05-26 22:30:00,0.31,170
Meilleur TV LED,37,2019-05-27 15:30:00,0.03,1930
Cadeau original,37,2019-05-25 12:00:00,0.27,520
Diffuseur d'huiles essentielles,37,2019-05-26 14:30:00,0.00,0
Sarah Sanders,37,2019-06-14 17:00:00,0.00,60
Christopher Walken,37,2019-06-25 17:30:00,0.00,550
Bague perle,37,2019-05-26 17:00:00,0.33,190
Bijou personnalisé,37,2019-05-26 10:30:00,0.51,80
Portefeuille femme,37,2019-05-26 15:00:00,0.33,810
Luc Besson,37,2019-05-15 18:00:00,0.04,3620
Mobile d'occasion,36,2019-04-18 17:00:00,0.00,0
Téléphone Android,36,2019-05-26 21:00:00,0.20,150
Soins visage Estée Lauder,36,2019-05-26 21:30:00,0.00,0
Parfum Jo Malone,36,2019-05-26 13:00:00,0.27,50
Pantalon homme,36,2019-04-17 17:30:00,0.33,2660
Vernis à ongles,36,2019-05-26 22:00:00,0.00,420
Speakers Bose,36,2019-05-26 13:30:00,0.08,60
La Reine des Neiges 2,36,2019-06-12 17:00:00,0.00,0
Achat appartement,36,2019-04-18 17:00:00,0.81,2230
Salvator Mundi,36,2019-06-12 17:00:00,0.04,900
Prise d'otages prison,36,2019-06-12 17:00:00,0.00,0
Meilleur placement,36,2019-04-17 17:30:00,0.61,1970
Robe de soirée,36,2019-05-26 06:30:00,0.00,10
Sommet GOsaka,36,2019-06-29 07:00:00,0.00,0
Offres hotels,36,2019-05-26 19:30:00,0.99,10
Fusion Renault-Fiat,36,2019-05-28 17:30:00,0.00,830
Abonnement magazine,36,2019-05-14 17:00:00,0.28,1560
Parfum Chanel,36,2019-05-26 14:00:00,0.67,480
Agnès Thill,36,2019-06-27 17:00:00,0.00,3480
Voiture SUV,36,2019-07-02 23:00:00,0.94,80510
Sony PS5,36,2019-04-17 17:30:00,0.00,50
Nintendo Game Boy,36,2019-04-23 17:00:00,0.03,50
Livraison chocolats,35,2019-05-26 17:00:00,0.46,110
Palette Urban Decay,35,2019-05-26 19:00:00,0.32,80
Lunettes Oakley,35,2019-05-26 20:00:00,0.42,280
Abri voiture,35,2019-04-25 17:00:00,0.57,1290
Jupe courte,35,2019-06-27 16:30:00,0.24,310
Barbecue Weber,35,2019-06-20 23:10:00,0.31,4280
Comparatif offres ADSL,35,2019-05-09 16:30:00,0.24,110
Séjour tout inclus,35,2019-05-26 21:30:00,0.63,340
Meilleurs placements,35,2019-04-25 17:00:00,0.24,1980
Call of Duty : Modern Warfare,35,2019-05-31 16:30:00,0.06,720
Affaire Balkany,35,2019-05-15 17:00:00,0.00,2250
Gérard Collomb,35,2019-06-06 16:00:00,0.00,4060
Attentat Tunis,35,2019-06-28 16:30:00,0.00,100
Week-end Italie,35,2019-06-27 16:30:00,0.58,470
Promo lave-linge,35,2019-04-19 17:00:00,0.33,210
Pyjama en soie,35,2019-05-26 09:30:00,0.00,0
Cafetière Nespresso,35,2019-05-26 15:00:00,0.53,1110
Rachid El Jay,35,2019-06-28 16:30:00,0.00,210
Perle noire,35,2019-05-25 13:30:00,0.17,230
Billet d'avion,35,2019-06-28 16:30:00,0.00,0
Huile de bain,34,2019-05-26 14:30:00,0.00,0
Thierry Ardisson,34,2019-05-31 16:00:00,0.00,6440
Mick Micheyl,34,2019-05-17 16:30:00,0.04,8520
Coffret bien-être,34,2019-05-26 21:00:00,0.40,30
Cadeau femme,34,2019-05-26 12:00:00,0.40,680
Sac Longchamp,34,2019-05-26 18:00:00,0.16,2040
Enquête Mueller,34,2019-04-24 16:30:00,0.00,0
Permis moto,34,2019-05-04 05:00:00,0.33,2730
Chaussons femme,34,2019-05-26 17:30:00,0.27,270
Livraison macarons,34,2019-05-26 22:00:00,0.11,70
Paris sportifs,34,2019-05-21 16:30:00,0.00,0
Coffret champagne,34,2019-05-26 17:30:00,0.22,50
Parfum Frédéric Malle,34,2019-05-26 04:30:00,0.19,20
Pêle-mêle photos,34,2019-05-26 16:30:00,0.28,130
Rencontres seniors,34,2019-04-09 16:30:00,0.38,390
Stages méditation,34,2019-05-26 20:30:00,0.00,20
Ceinture femme,33,2019-05-25 22:00:00,0.34,540
Prêt hypothécaire,33,2019-02-20 17:30:00,0.74,19020
Barack Obama,33,2019-06-17 23:30:00,0.10,4240
Peignoir femme,33,2019-05-26 16:30:00,0.35,480
Martin Scorsese,33,2019-06-14 15:00:00,0.00,1090
Judith et Holopherne,33,2019-06-26 15:00:00,0.00,0
Jouets bébé,33,2019-05-16 16:00:00,0.14,80
Rangement cuisine,33,2019-04-05 16:00:00,0.31,300
Collier fantaisie,33,2019-05-25 05:00:00,0.43,230
Chaussures femmes,33,2019-05-26 15:00:00,0.22,2840
iPad,33,2019-05-26 20:00:00,0.17,10630
Doctor Sleep,33,2019-06-17 23:30:00,0.00,60
James Marsden,33,2019-06-26 15:00:00,0.00,760
Prêt étudiant,33,2019-04-11 17:00:00,0.53,1600
Coffret chocolats,33,2019-05-25 12:30:00,0.00,20
Boite à bonbons,32,2019-05-26 03:00:00,0.00,30
Parfum Diptyque,32,2019-05-26 02:30:00,0.39,80
Michelle Obama,32,2019-06-15 07:00:00,0.20,2560
Forfait téléphone,32,2019-02-21 17:30:00,0.80,25530
Apple iPad mini,32,2019-05-25 13:00:00,0.19,70
Rouges à lèvres Chanel,32,2019-05-26 01:30:00,0.00,10
Séjours pas chers,31,2019-05-26 20:00:00,0.78,6370
Appareil massage pieds,31,2019-05-26 22:30:00,0.29,270
Achat maison,31,2019-02-22 18:30:00,0.24,2750
Speakers Bluetooth,31,2019-05-26 22:00:00,0.12,30
Bijoux uniques,31,2019-05-25 08:00:00,0.00,100
Séjour tout compris,31,2019-04-10 15:00:00,0.92,2150
Location maison,31,2019-05-18 07:00:00,0.17,4120
Diffuseur d'huiles,31,2019-05-26 02:30:00,0.00,0
Jonathann Daval,31,2019-06-18 15:00:00,0.00,300
Faire-part personnalisé,31,2019-06-15 07:00:00,0.99,60
Parfum femme,31,2019-05-26 01:00:00,0.60,2240
Grève en Suisse,31,2019-06-15 07:00:00,0.00,0
Produits gastronomiques,31,2019-05-26 16:30:00,0.11,40
Parka femme,31,2019-03-05 08:00:00,0.27,450
Accident de Millas,31,2019-05-18 07:00:00,0.00,0
Ecouteurs Bose,31,2019-05-26 19:00:00,0.18,170
Coffret massage,30,2019-05-26 03:00:00,0.66,80
Adidas enfant,30,2019-06-08 07:00:00,0.28,170
Maurice Bénichou,30,2019-06-18 14:30:00,0.00,7830
Livre photo,30,2019-05-26 21:00:00,1.15,34340
Bougies parfumées,30,2019-05-26 16:00:00,0.28,160
Boucles d'oreille fantaisie,30,2019-05-26 17:30:00,0.00,0
Forfait mobile,30,2019-05-23 23:00:00,0.56,24900
Ordinateurs portables,30,2019-05-26 13:00:00,0.11,1350
Coffret thé,30,2019-05-26 12:30:00,0.59,70
Sac Louis Vuitton,30,2019-05-26 22:30:00,0.15,1040
Coffret Lancôme,30,2019-05-26 22:30:00,0.32,20
Meilleur taux,30,2019-04-04 04:30:00,0.41,28540
Pyjama femme,30,2019-05-25 21:30:00,0.49,1220
Promotion vacances,29,2019-04-06 07:00:00,0.87,40
Croisière en Europe,29,2019-05-26 09:00:00,0.00,0
Boucles d'oreille Chanel,29,2019-05-26 21:30:00,0.00,0
Heure d'été,29,2019-03-31 07:00:00,0.00,0
Billet de train,29,2019-06-29 07:00:00,0.00,10
Bourse de Paris,29,2019-05-18 07:00:00,0.00,0
Soldes été 2019,29,2019-06-29 07:00:00,0.00,0
Robes printemps,29,2019-04-06 07:00:00,0.16,100
Promotion gazon,29,2019-03-21 06:30:00,0.00,10
Chris Brown,29,2019-05-29 13:00:00,0.23,2370
Rouges à lèvres MAC,29,2019-05-26 21:30:00,0.00,10
Table de jardin,29,2019-06-03 22:30:00,0.00,0
Sandra Muller,29,2019-05-30 23:00:00,0.00,3250
Chapeau femme,29,2019-05-26 20:30:00,0.31,610
Veste polaire,29,2019-02-27 18:00:00,0.31,200
Uber en bourse,29,2019-05-11 07:00:00,0.00,0
Séjours détente,29,2019-05-26 17:00:00,0.00,0
Soins Yves Rocher,29,2019-05-26 08:30:00,0.03,160
Boucles d'oreille or,29,2019-05-26 19:00:00,0.00,0
Réservation restaurant,29,2019-05-26 17:00:00,0.21,70
Soins corps,29,2019-05-26 09:00:00,0.25,140
Satellites SpaceX,29,2019-05-30 23:00:00,0.00,140
Permis voiture,29,2019-03-16 07:00:00,0.55,360
Blake et Mortimer,29,2019-05-30 23:00:00,0.00,0
Parfum Guerlain,29,2019-05-26 21:30:00,0.49,440
Coussin massage dos,29,2019-05-24 22:00:00,0.09,90
Otages libérés,29,2019-05-11 07:00:00,0.00,40
Héritage Johnny Hallyday,29,2019-05-29 13:00:00,0.03,740
Vernis à ongles essie,29,2019-05-26 14:00:00,0.00,20
Sebastian Kurz,29,2019-05-29 13:00:00,0.00,1680
Elizabeth Warren,28,2019-06-28 13:00:00,0.03,3840
Sac en cuir,28,2019-05-26 10:30:00,0.00,0
Enceintes sans fil,28,2019-06-22 07:00:00,0.11,120
Coffret beauté,28,2019-05-26 13:00:00,0.56,80
Cadeaux pour elle,28,2019-02-13 20:30:00,0.00,0
Pantalon en lin,28,2019-05-24 21:30:00,0.00,0
Sac femme,28,2019-03-15 06:30:00,0.21,5990
Vase en cristal,28,2019-05-26 08:00:00,0.00,0
Boucles d'oreille diamant,28,2019-05-26 22:00:00,0.00,0
Meilleur forfait internet,28,2019-03-15 06:30:00,0.74,60
Costumes homme,28,2019-05-16 23:30:00,0.29,170
Blouson homme,28,2019-03-02 07:00:00,0.33,1240
Mike Pence,28,2019-06-22 07:00:00,0.00,210
Coffret gourmand,28,2019-05-25 16:00:00,0.39,100
Bague femme,28,2019-03-07 17:30:00,0.38,330
Devis travaux,28,2019-02-28 18:00:00,1.29,2120
Marc Jacobs Beauty,28,2019-05-26 17:30:00,0.09,80
Fête de la musique,28,2019-06-22 07:00:00,0.00,0
Sac Chanel,28,2019-05-26 16:30:00,0.09,710
Bottes femme,28,2019-02-16 07:00:00,0.23,130
Robe en soie,28,2019-05-26 20:00:00,0.00,0
Week-end Venise,28,2019-02-16 21:00:00,0.67,480
Trottinette électrique,28,2019-04-20 07:00:00,0.17,11410
Boucles d'oreille Swarovski,28,2019-05-26 20:00:00,0.00,0
Vacances Maroc,28,2019-03-21 06:00:00,0.95,320
Forfait illimité,28,2019-04-20 07:00:00,0.49,5860
Sony Xperia,27,2019-02-26 17:30:00,0.24,2600
Machine expresso,27,2019-02-13 20:30:00,0.71,500
Soins des mains,27,2019-05-26 18:00:00,0.00,0
Séjours thalasso,27,2019-03-06 07:30:00,1.50,400
Diffuseur d'arômes,27,2019-05-26 22:30:00,0.00,0
Week-end dernière minute,27,2019-03-09 07:00:00,0.57,7540
Outils jardin,27,2019-03-12 06:30:00,0.12,490
Festival Series Mania,27,2019-03-26 20:00:00,0.00,20
Meilleure banque,27,2019-02-13 20:30:00,1.72,1580
Foulard,27,2019-05-26 06:00:00,0.25,920
Soins corps Caudalie,27,2019-05-26 16:00:00,0.00,20
Coffret Clarins,26,2019-05-26 16:00:00,0.56,90
Sac à main,26,2019-05-26 07:00:00,0.00,2900
Doudoune femme,26,2019-02-19 07:00:00,0.30,560
Streaming Apple,26,2019-03-26 19:30:00,0.00,10
Bouquet de ballons,26,2019-05-26 20:30:00,0.00,0
Occasion voiture,26,2019-03-21 18:30:00,0.09,1030
Coffret week-end,26,2019-05-26 19:30:00,1.16,50
Leonardo Araújo,26,2019-06-10 20:00:00,0.00,50
Nouveau parfum,26,2019-03-26 19:30:00,0.11,120
Bijoux Agatha,26,2019-05-26 19:00:00,0.06,350
Crèmes anti-rides,26,2019-02-26 17:00:00,0.53,60
Coffret bain,26,2019-05-26 22:00:00,0.14,60
Trousse de maquillage,25,2019-05-26 16:30:00,0.00,0
Vente maison,25,2019-03-12 19:00:00,0.30,1570
Comparateur prêt,25,2019-02-26 17:00:00,1.45,50
Samsung TV,25,2019-03-22 07:00:00,0.29,390
Parfum Dior,25,2019-05-26 09:30:00,0.55,560
Chauffage d'appoint,25,2019-02-16 19:30:00,0.00,0
Comparateur vols,25,2019-03-22 07:00:00,0.87,3760
Veste homme,25,2019-03-26 06:30:00,0.39,6740
Hôtels Barcelone,25,2019-04-13 07:00:00,0.85,26290
Set de manucure,25,2019-05-25 08:00:00,0.00,0
Prêt en ligne,25,2019-02-16 19:30:00,0.00,0
Permis vélo,25,2019-04-13 07:00:00,0.00,80
Soins massage,25,2019-02-08 17:30:00,0.79,30
Chemisiers femme,25,2019-03-08 06:00:00,0.26,90
Set de pédicure,25,2019-05-26 21:30:00,0.00,0
Soins spa cheveux,25,2019-05-26 18:30:00,0.00,30
Boucles d'oreille argent,25,2019-05-26 06:30:00,0.00,0
Outils bricolage,24,2019-03-22 19:00:00,0.12,120
François Fillon,24,2019-07-05 09:00:00,0.00,60
Téléphone d'occasion,24,2019-03-02 19:30:00,0.00,0
Billets d'avion,24,2019-04-02 06:00:00,0.00,0
Livres numériques,24,2019-04-02 06:00:00,0.24,150
Stage de yoga,24,2019-05-25 23:30:00,0.00,0
Diffuseur de parfum,24,2019-05-26 02:30:00,0.00,0
Séisme Los Angeles,24,2019-07-05 09:00:00,0.00,20
Meilleure offre SUV,24,2019-04-02 05:30:00,0.00,0
Bernard Preynat,24,2019-07-05 09:00:00,0.00,60
Vols États-Unis,23,2019-04-03 04:00:00,0.49,30
Procès indépendantistes,23,2019-02-17 07:00:00,0.00,0
Montre connectée,23,2019-02-11 18:30:00,0.31,6820
Star Wars: The Mandalorian,23,2019-07-05 09:00:00,0.00,20
Soins visage Fresh,23,2019-05-26 10:00:00,0.30,30
Week-end en amoureux,23,2019-02-14 08:00:00,0.00,0
Soins Clinique,23,2019-05-25 15:00:00,0.08,20
Halle Bailey,23,2019-07-05 09:00:00,0.00,0
Set de maquillage,23,2019-05-26 22:30:00,0.00,0
Parfum d'ambiance,23,2019-05-26 20:30:00,0.00,0
Bague diamant,22,2019-05-06 23:30:00,0.71,650
Tenue de ski enfant,22,2019-02-19 18:00:00,0.00,0
Réservation avion,22,2019-03-18 16:30:00,1.02,300
Sandales femme,22,2019-07-01 22:00:00,0.23,1410
Chaussures sport,22,2019-05-04 05:00:00,0.53,560
Places spectacles,22,2019-05-04 05:00:00,0.13,60
Promotion matelas,22,2019-02-18 18:00:00,0.41,800
Logiciel photo,22,2019-05-26 06:00:00,0.24,1060
Bague de fiançailles,22,2019-03-18 16:30:00,0.00,10
Défilé Chanel,22,2019-05-04 05:00:00,0.00,70
John Bolton,22,2019-06-17 18:00:00,0.00,610
Coffret Yves Saint Laurent,22,2019-05-26 14:30:00,0.19,60
Téléviseur Samsung,21,2019-04-29 17:30:00,0.17,6530
Huile de massage,21,2019-05-25 20:00:00,0.00,0
Placement bancaire,21,2019-03-05 18:00:00,0.38,50
Foulard en soie,21,2019-05-25 14:30:00,0.00,10
Aina Kuric,21,2019-06-10 17:30:00,0.00,30
Séjours tout compris,21,2019-02-14 17:30:00,0.76,110
Mocassins homme,21,2019-02-26 04:00:00,0.36,540
Purificateur d'air,21,2019-02-25 17:30:00,0.00,0
Croisière pas chère,21,2019-04-02 16:30:00,0.91,720
Céline Lechanteur,21,2019-06-03 17:30:00,0.00,290
Ada Hegerberg,21,2019-06-12 22:30:00,0.00,2230
Impôt sur le revenu,21,2019-02-26 04:00:00,0.00,0
PC portable,21,2019-03-19 16:30:00,1.14,4270
Julien Clerc,21,2019-06-03 17:30:00,0.07,6590
Meilleures mutuelles,20,2019-03-13 05:00:00,0.74,140
Crèmes minceur,20,2019-03-27 05:30:00,1.64,20
Soins beauté,20,2019-05-26 22:00:00,0.62,40
Achat voiture,20,2019-02-27 03:00:00,0.47,2140
Comparateur assurances,20,2019-06-10 17:00:00,0.59,29750
Marc Lavoine,20,2019-06-10 17:00:00,0.05,4850
Week-end montagne,20,2019-02-17 07:00:00,0.63,30
Extracteur de jus,20,2019-05-26 12:00:00,0.00,10
Bouquet de roses,19,2019-05-25 10:00:00,0.00,0
Rideaux sur mesure,19,2019-03-15 16:30:00,0.00,0
Mutuelle pas chère,19,2019-03-15 16:30:00,1.24,18830
Projet de loi santé,19,2019-03-27 05:30:00,0.00,0
Trousse de voyage,19,2019-05-25 09:30:00,0.00,0
Robot aspirateur,19,2019-02-22 03:00:00,0.30,1860
Lyft en bourse,19,2019-03-30 16:30:00,0.00,0
Vols discount Portugal,19,2019-03-17 16:30:00,0.00,0
Coffret maquillage,19,2019-05-25 18:30:00,0.51,390
Machine à laver,19,2019-03-04 16:30:00,0.00,9160
Monte-escalier,18,2019-03-01 02:30:00,3.69,1230
Devis peinture,18,2019-05-30 17:30:00,0.68,2090
Chemise homme,18,2019-05-30 17:30:00,0.60,1910
Meilleur prix lunettes,18,2019-02-15 17:10:00,0.00,10
Bouquet de fleurs,18,2019-05-26 04:30:00,0.00,0
Vétérinaire en ligne,18,2019-03-11 16:30:00,0.00,0
Fauteuils en cuir,18,2019-03-11 16:30:00,0.00,0
Location Toscane,17,2019-04-10 23:30:00,1.62,140
Mobilier jardin,17,2019-04-10 23:30:00,0.36,3100
Romain Danzé,17,2019-05-27 15:30:00,0.00,120
Lunettes homme,16,2019-02-21 01:30:00,0.46,100
Volcan Ulawun,16,2019-06-26 23:00:00,0.00,560
Colis piégé Lyon,16,2019-05-27 23:30:00,0.00,130
Boite de chocolats,16,2019-05-26 20:00:00,0.00,0
Achat en ligne,16,2019-06-18 23:00:00,0.00,0
Caméra surveillance,16,2019-06-18 23:00:00,0.69,3000
Séisme au Japon,16,2019-06-18 23:00:00,0.00,0
Offre croisière,16,2019-06-18 23:00:00,1.12,60
Robe longue,16,2019-06-26 23:00:00,0.29,4740
Livraison courses,15,2019-05-05 07:00:00,0.85,2170
Linge de bain,15,2019-05-26 17:00:00,0.00,0
Week-end tout compris,14,2019-06-20 23:10:00,0.44,340
Palette de maquillage,14,2019-05-26 15:30:00,0.00,10
Comparateur forfaits mobile,14,2019-04-09 23:30:00,0.00,10
Prêt gratuit,13,2019-06-06 22:30:00,0.17,1680
Tour d'Italie,13,2019-05-21 23:00:00,0.00,0
Vacances Portugal,13,2019-04-11 23:30:00,0.46,2680
Achat voiture SUV,13,2019-05-14 23:30:00,0.42,50
Vestes homme,13,2019-04-18 23:30:00,0.34,110
Billets pas chers,13,2019-05-07 23:30:00,0.80,170
Robes cocktail,13,2019-05-20 23:30:00,0.24,570
Cadeaux mariage,13,2019-05-21 23:00:00,0.40,290
Leonardo DiCaprio,13,2019-05-21 23:00:00,0.05,11720
Offres SUV,12,2019-06-13 22:30:00,0.25,20
Molières 2019,12,2019-05-13 23:00:00,0.00,0
OnePlus 7 Pro,12,2019-05-14 23:30:00,0.00,0
Marion Maréchal,12,2019-06-27 23:00:00,0.04,7980
Attaque pétroliers,12,2019-06-13 22:30:00,0.00,280
Collier de perles,12,2019-05-24 10:00:00,0.00,0
Édouard Baer,12,2019-05-14 23:30:00,0.24,1970
Bac Français 2019,12,2019-06-17 23:30:00,0.00,0
Plancha gaz,12,2019-04-22 23:00:00,0.42,3950
Fête des Pères,12,2019-06-13 22:30:00,0.00,10
Christine Lagarde,12,2019-07-04 20:30:00,0.00,880
Christopher Froome,11,2019-06-12 22:30:00,0.04,510
Prix des carburants,11,2019-05-07 23:00:00,0.00,0
Appel de Christchurch,11,2019-05-15 23:30:00,0.00,0
Vacances Espagne,11,2019-06-10 22:30:00,0.29,9430
Produits piscine,11,2019-06-10 22:30:00,0.18,240
Location chaussures,10,2019-07-03 22:30:00,0.03,30
Josiane Balasko,10,2019-07-02 23:00:00,0.13,3320
Projet de loi Hong Kong,10,2019-06-10 22:30:00,0.00,0
Commémorations D-Day,10,2019-06-03 22:30:00,0.00,0
Soldes robes,10,2019-07-02 23:00:00,0.09,180
Billets de train,10,2019-06-03 22:30:00,0.00,0
Éliminatoires EURO 2020,10,2019-06-11 23:00:00,0.00,0
Console de jeux,10,2019-04-17 23:00:00,0.00,0
David Pujadas,10,2019-06-03 22:30:00,0.00,620
Carla Bruni,10,2019-06-25 22:33:00,0.24,4640
Compte en ligne,10,2019-06-24 23:00:00,0.00,0
Séjours Espagne,10,2019-07-02 23:00:00,0.61,40
Soldes chaussures,10,2019-07-03 22:30:00,0.49,800
Maillot grande taille,10,2019-06-25 22:33:00,0.33,180
Ekrem İmamoğlu,10,2019-06-24 23:00:00,0.00,0
Marion Cotillard,9,2019-05-22 22:30:00,0.05,15860
PlayStation 5,9,2019-05-22 22:30:00,0.00,0
Privatisation Groupe ADP,9,2019-06-11 23:00:00,0.00,100
Prêt travaux,9,2019-05-22 22:30:00,0.89,19390
Placement retraite,8,2019-04-16 23:30:00,0.25,150
Hôtels Rome,8,2019-04-16 23:30:00,0.25,18370
Grève fonction publique,8,2019-05-08 23:00:00,0.00,120
Journée internationale des femmes,7,2019-03-08 06:00:00,0.00,0
Chaussons Isotoner,6,2019-05-26 02:30:00,0.19,80
Gérard Depardieu,5,2019-06-04 21:30:00,0.04,3260
Carte bancaire gratuite,4,2019-06-04 21:30:00,0.69,27430
Vols Madrid,4,2019-06-04 21:30:00,0.76,50
Arrosage automatique,4,2019-06-04 21:30:00,0.17,1750
Anne Vanderlove,3,2019-07-04 21:30:00,0.00,270
Djihadistes français,3,2019-06-04 21:30:00,0.11,180
Serviettes de bain,3,2019-06-19 23:30:00,0.00,0
Soldes chemises,2,2019-07-04 20:30:00,0.28,40
Téléphone gratuit,2,2019-04-30 01:00:00,1.81,260
Roméo Elvis,2,2019-07-04 21:30:00,0.28,5620
XV de France,2,2019-04-30 01:00:00,0.00,0
Renault-Fiat-Chrysler,1,2019-05-27 16:00:00,0.00,180